,src,dest
875,TFAP2A,KRT17
876,TFAP2A,KIFC3
877,TFAP2A,KIF2A
878,TFAP2A,KDM2A
879,TFAP2A,ITGB1
880,TFAP2A,ITGA2
881,TFAP2A,IRF1
882,TFAP2A,ING2
883,TFAP2A,IGF1R
884,TFAP2A,IFNGR1
885,TFAP2A,HOXC12
886,TFAP2A,HOXA9
887,TFAP2A,HMOX1
888,TFAP2A,HIP1
889,TFAP2A,HEY1
890,TFAP2A,HDAC4
891,TFAP2A,GYG1
892,TFAP2A,GUSB
893,TFAP2A,GPRC5C
894,TFAP2A,GPR137
895,TFAP2A,GON4L
896,TFAP2A,GLUD1
897,TFAP2A,GDPGP1
898,TFAP2A,GATA2
899,TFAP2A,FZD5
900,TFAP2A,FMNL1
901,TFAP2A,FLII
902,TFAP2A,FJX1
903,TFAP2A,FBXW2
904,TFAP2A,FAS
905,TFAP2A,FAM53B
906,TFAP2A,EXOC3
907,TFAP2A,EPB41L1
908,TFAP2A,EP300
909,TFAP2A,ENG
910,TFAP2A,ELN
911,TFAP2A,ELK1
912,TFAP2A,EID2
913,TFAP2A,DSG2
914,TFAP2A,DPY19L1
915,TFAP2A,DDX5
916,TFAP2A,CTNNB1
917,TFAP2A,CTBP1
918,TFAP2A,CREB3
919,TFAP2A,CRABP2
920,TFAP2A,CNOT2
921,TFAP2A,CLIP1
922,TFAP2A,CELSR1
923,TFAP2A,CDKL3
924,TFAP2A,BSG
925,TFAP2A,BEND3
926,TFAP2A,BCL3
927,TFAP2A,BCKDHA
928,TFAP2A,BAG6
929,TFAP2A,BAG4
930,TFAP2A,B4GALT5
931,TFAP2A,ATP2A3
932,TFAP2A,ATP1A1
933,TFAP2A,ATF2
934,TFAP2A,ARSB
935,TFAP2A,ARHGAP27
936,TFAP2A,ANKRD13B
937,TFAP2A,ADD1
938,TFAP2A,ACSL3
939,TFAP2A,ACD
940,TFAP2A,ACAP2
941,TFAP2A,AATK
942,STAT6,SOCS3
943,STAT6,SOCS2
944,STAT5B,PIM1
945,STAT5B,CCND3
946,STAT5B,CCND1
947,STAT5B,BCL6
948,STAT5A,PIM1
949,STAT5A,CCND3
950,STAT5A,CCND2
951,STAT5A,CCND1
952,STAT4,SOCS3
953,STAT4,SOCS2
954,STAT4,PIM1
955,STAT4,MYC
956,STAT4,IRF1
957,STAT3,VIP
958,STAT3,VEGFA
959,STAT3,TNF
960,STAT3,SOCS2
961,STAT3,SOCS1
962,STAT3,PIM1
963,STAT3,OSM
964,STAT3,MYC
965,STAT3,JUN
966,STAT3,IRF1
967,STAT3,FCGR1A
968,STAT3,CCND3
969,STAT3,CCND1
970,STAT3,CCL2
971,STAT3,BCL2L1
972,STAT2,SOCS3
973,STAT2,SOCS2
974,STAT1,VIP
975,STAT1,TP53
976,STAT1,SOCS2
977,STAT1,PSMB9
978,STAT1,PIM1
979,STAT1,MYC
980,STAT1,JUN
981,STAT1,IRF1
982,STAT1,FCGR1A
983,STAT1,CCL2
984,STAT1,BCL6
985,SRF,ZSWIM6
986,SRF,ZNF644
987,SRF,ZEB1
988,SRF,VIL1
989,SRF,TPM1
990,SRF,TLE3
991,SRF,TAGLN
992,SRF,TADA3
993,SRF,SUN2
994,SRF,STX10
995,SRF,PTMS
996,SRF,PPIA
997,SRF,PLP2
998,SRF,PLEKHG2
999,SRF,PFKFB3
1000,SRF,PDLIM5
1001,SRF,OCSTAMP
1002,SRF,NR2F6
1003,SRF,NR2F2
1004,SRF,NPAS4
1005,SRF,NPAS2
1006,SRF,NFE2L2
1007,SRF,MYO1E
1008,SRF,MYL9
1009,SRF,MYADM
1010,SRF,MTCH1
1011,SRF,MRRF
1012,SRF,MCL1
1013,SRF,MAPKAPK2
1014,SRF,LPP
1015,SRF,KIF16B
1016,SRF,KCNH2
1017,SRF,JUNB
1018,SRF,IRF2BPL
1019,SRF,HNMT
1020,SRF,GRK6
1021,SRF,GADD45G
1022,SRF,FOXP1
1023,SRF,FILIP1L
1024,SRF,EGR3
1025,SRF,EGR2
1026,SRF,EGR1
1027,SRF,DUSP5
1028,SRF,DUSP2
1029,SRF,DGKH
1030,SRF,CTSA
1031,SRF,CSRP1
1032,SRF,CREB3
1033,SRF,CFL1
1034,SRF,CD248
1035,SRF,CAPN13
1036,SRF,ATF3
1037,SRF,ASB2
1038,SRF,ARC
1039,SRF,AKAP12
1040,SRF,ACTG1
1041,SRF,ACTB
1042,SRF,ACTA1
1043,SPI1,REL
1044,SPI1,NOS3
1045,SPI1,NCF4
1046,SPI1,NCF2
1047,SPI1,MNDA
1048,SPI1,LSP1
1049,SPI1,ITGB2
1050,SPI1,ITGB1
1051,SPI1,ITGAM
1052,SPI1,ITGA2B
1053,SPI1,IL3RA
1054,SPI1,IL1RN
1055,SPI1,EBI3
1056,SPI1,CSF3R
1057,SPI1,CSF2RA
1058,SPI1,CSF1
1059,SPI1,CIITA
1060,SPI1,CD68
1061,SPI1,BTK
1062,SPI1,ABCB4
1063,SP1,ZNF787
1064,SP1,ZNF524
1065,SP1,ZNF512
1066,SP1,ZBTB8OS
1067,SP1,ZBTB7A
1068,SP1,ZBTB5
1069,SP1,ZBTB22
1070,SP1,YIF1A
1071,SP1,WTAP
1072,SP1,VPS35
1073,SP1,VEGFA
1074,SP1,USP32
1075,SP1,UBP1
1076,SP1,UBAP2L
1077,SP1,TSNAXIP1
1078,SP1,TSEN34
1079,SP1,TRIP10
1080,SP1,TRAF7
1081,SP1,TNFRSF12A
1082,SP1,TNFRSF10A
1083,SP1,TMEM208
1084,SP1,TMEM198
1085,SP1,TINF2
1086,SP1,TIMM50
1087,SP1,TGFB1
1088,SP1,TEX2
1089,SP1,TEF
1090,SP1,TEAD2
1091,SP1,TAPBP
1092,SP1,TAL1
1093,SP1,SYNCRIP
1094,SP1,SWI5
1095,SP1,STXBP5L
1096,SP1,STX5
1097,SP1,STAG3
1098,SP1,SSX2IP
1099,SP1,SRSF2
1100,SP1,SPRED3
1101,SP1,SPAG4
1102,SP1,SP1
1103,SP1,SOWAHC
1104,SP1,SMAD3
1105,SP1,SMAD2
1106,SP1,SLITRK4
1107,SP1,SLC38A3
1108,SP1,SIPA1
1109,SP1,SIN3A
1110,SP1,SEZ6L2
1111,SP1,SETD3
1112,SP1,SESN1
1113,SP1,SEMA7A
1114,SP1,SEC16A
1115,SP1,SCARF1
1116,SP1,SCAF1
